Pairwise Alignment FATCAT time log
Format: protein1_protein2  START_TIME  END_TIME  DURATION_SEC
F4MNZ6_F4MP95	2025-05-21 01:08:17	2025-05-21 01:08:17	0
F4MNZ6_F4MPL0	2025-05-21 01:08:17	2025-05-21 01:08:19	2
F4MNZ6_F4MPW3	2025-05-21 01:08:19	2025-05-21 01:08:19	0
F4MNZ6_F4MQ66	2025-05-21 01:08:19	2025-05-21 01:08:20	1
F4MNZ6_F4MQG7	2025-05-21 01:08:20	2025-05-21 01:08:20	0
F4MNZ6_F4MQR6	2025-05-21 01:08:20	2025-05-21 01:08:21	1
F4MNZ6_F4MQR7	2025-05-21 01:08:21	2025-05-21 01:08:22	1
F4MNZ6_F4MR19	2025-05-21 01:08:22	2025-05-21 01:08:22	0
F4MNZ6_F4MR20	2025-05-21 01:08:22	2025-05-21 01:08:23	1
F4MP95_F4MPL0	2025-05-21 01:08:23	2025-05-21 01:08:24	1
F4MP95_F4MPW3	2025-05-21 01:08:24	2025-05-21 01:08:24	0
F4MP95_F4MQ66	2025-05-21 01:08:24	2025-05-21 01:08:24	0
F4MP95_F4MQG7	2025-05-21 01:08:24	2025-05-21 01:08:25	1
F4MP95_F4MQR6	2025-05-21 01:08:25	2025-05-21 01:08:25	0
F4MP95_F4MQR7	2025-05-21 01:08:25	2025-05-21 01:08:26	1
F4MP95_F4MR19	2025-05-21 01:08:26	2025-05-21 01:08:26	0
F4MP95_F4MR20	2025-05-21 01:08:26	2025-05-21 01:08:26	0
F4MPL0_F4MPW3	2025-05-21 01:08:26	2025-05-21 01:08:27	1
F4MPL0_F4MQ66	2025-05-21 01:08:27	2025-05-21 01:08:27	0
F4MPL0_F4MQG7	2025-05-21 01:08:27	2025-05-21 01:08:28	1
F4MPL0_F4MQR6	2025-05-21 01:08:28	2025-05-21 01:08:30	2
F4MPL0_F4MQR7	2025-05-21 01:08:30	2025-05-21 01:08:32	2
F4MPL0_F4MR19	2025-05-21 01:08:32	2025-05-21 01:08:34	2
F4MPL0_F4MR20	2025-05-21 01:08:34	2025-05-21 01:08:37	3
F4MPW3_F4MQ66	2025-05-21 01:08:37	2025-05-21 01:08:37	0
F4MPW3_F4MQG7	2025-05-21 01:08:37	2025-05-21 01:08:38	1
F4MPW3_F4MQR6	2025-05-21 01:08:38	2025-05-21 01:08:38	0
F4MPW3_F4MQR7	2025-05-21 01:08:38	2025-05-21 01:08:39	1
F4MPW3_F4MR19	2025-05-21 01:08:39	2025-05-21 01:08:39	0
F4MPW3_F4MR20	2025-05-21 01:08:39	2025-05-21 01:08:39	0
F4MQ66_F4MQG7	2025-05-21 01:08:39	2025-05-21 01:08:39	0
F4MQ66_F4MQR6	2025-05-21 01:08:39	2025-05-21 01:08:39	0
F4MQ66_F4MQR7	2025-05-21 01:08:39	2025-05-21 01:08:40	1
F4MQ66_F4MR19	2025-05-21 01:08:40	2025-05-21 01:08:40	0
F4MQ66_F4MR20	2025-05-21 01:08:40	2025-05-21 01:08:40	0
F4MQG7_F4MQR6	2025-05-21 01:08:40	2025-05-21 01:08:40	0
F4MQG7_F4MQR7	2025-05-21 01:08:40	2025-05-21 01:08:42	2
F4MQG7_F4MR19	2025-05-21 01:08:42	2025-05-21 01:08:42	0
F4MQG7_F4MR20	2025-05-21 01:08:42	2025-05-21 01:08:43	1
F4MQR6_F4MQR7	2025-05-21 01:08:43	2025-05-21 01:08:44	1
F4MQR6_F4MR19	2025-05-21 01:08:44	2025-05-21 01:08:44	0
F4MQR6_F4MR20	2025-05-21 01:08:44	2025-05-21 01:08:45	1
F4MQR7_F4MR19	2025-05-21 01:08:45	2025-05-21 01:08:46	1
F4MQR7_F4MR20	2025-05-21 01:08:46	2025-05-21 01:08:47	1
F4MR19_F4MR20	2025-05-21 01:08:47	2025-05-21 01:08:48	1

Total alignments: 45
Total time (seconds): 31
Average time per alignment (seconds): .68
